"time","timeDate","close","high","low","open","volumefrom","volumeto"
1518956100000,"2018-02-18",10548.47,10560.52,10540.24,10554.29,255.11,2695180.3
1518956400000,"2018-02-18",10481.34,10549.15,10455.91,10548.47,920.19,9710294.38
1518956700000,"2018-02-18",10507.46,10508.12,10475.39,10479.89,344.98,3644153.65
1518957000000,"2018-02-18",10453.99,10508.39,10440.81,10507.96,460.44,4823148.23
1518957300000,"2018-02-18",10477.16,10478.78,10451.27,10454.07,391.08,4104132.79
1518957600000,"2018-02-18",10545.99,10550.04,10476.95,10476.95,446.24,4711557.53
1518957900000,"2018-02-18",10553.74,10575.83,10542.28,10545.8,371.42,3934836.03
1518958200000,"2018-02-18",10575.55,10607.35,10554.23,10554.23,330.57,3516598.59
1518958500000,"2018-02-18",10585.06,10600.43,10575.18,10575.18,297.5,3151869.06
1518958800000,"2018-02-18",10548.42,10586.01,10521.15,10585.06,345.88,3650754.52
1518959100000,"2018-02-18",10676.56,10676.99,10547.33,10548.42,819.4,8726871.88
1518959400000,"2018-02-18",10711.42,10716.76,10655.99,10676.69,830.46,8943759.28
1518959700000,"2018-02-18",10719.19,10719.19,10698.23,10711.16,666.11,7194417.62
1518960000000,"2018-02-18",10732.52,10760.02,10719.16,10719.58,695.04,7509309.51
1518960300000,"2018-02-18",10745.9,10749.36,10724.53,10732.52,344.36,3703830.24
1518960600000,"2018-02-18",10794.1,10810.82,10745.9,10745.9,903.25,9753565.14
1518960900000,"2018-02-18",10752.61,10795.03,10742.66,10793.65,562.35,6075480.18
1518961200000,"2018-02-18",10813.91,10814.79,10751.97,10753.02,403.38,4364288.31
1518961500000,"2018-02-18",10811,10830.39,10788.12,10814.1,635.16,6886206.96
1518961800000,"2018-02-18",10773.53,10811.85,10751.93,10811,549.87,5944746.46
1518962100000,"2018-02-18",10746.26,10780.15,10734.57,10773.53,331.19,3573269.93
1518962400000,"2018-02-18",10780.46,10809.47,10706.58,10746.26,754.17,8147650.62
1518962700000,"2018-02-18",10786.19,10803.48,10779.12,10779.28,295.44,3213348.59
1518963000000,"2018-02-18",10748.46,10786.37,10748.46,10786.19,181.91,1973578.47
1518963300000,"2018-02-18",10756.82,10770.33,10741.27,10748.46,332.08,3597613.85
1518963600000,"2018-02-18",10727.29,10764.71,10720.84,10756.89,306.19,3292527.23
1518963900000,"2018-02-18",10715.14,10737.31,10712.8,10727.29,336.05,3598868.44
1518964200000,"2018-02-18",10754.22,10765.72,10711.73,10715.14,353.52,3817163.28
1518964500000,"2018-02-18",10743.71,10755.07,10731.04,10754.38,182.04,1963065.15
1518964800000,"2018-02-18",10744.32,10745.46,10723.34,10743.2,219.34,2361934.4
1518965100000,"2018-02-18",10782.61,10793.64,10741.83,10742.39,341.56,3694615.88
1518965400000,"2018-02-18",10782.87,10787,10775.43,10783.48,183.64,1999789.71
1518965700000,"2018-02-18",10793.34,10793.35,10777.13,10784.29,291.85,3169075.24
1518966000000,"2018-02-18",10774.38,10793.11,10769.24,10792.61,161.91,1755117.37
1518966300000,"2018-02-18",10780.76,10782.47,10772.82,10774.38,113.73,1245258.83
1518966600000,"2018-02-18",10833.56,10850.43,10780.47,10780.76,627.12,6797367.07
1518966900000,"2018-02-18",10881.67,10897.39,10833.12,10833.56,772.4,8402990.9
1518967200000,"2018-02-18",10874.31,10882.74,10852.6,10881.57,475.52,5196880.1
1518967500000,"2018-02-18",10846.83,10874.5,10824.16,10874.31,422.25,4582036.94
1518967800000,"2018-02-18",10825.93,10847.26,10812.57,10846.83,291.91,3176727.26
1518968100000,"2018-02-18",10817.36,10832.72,10811.95,10825.49,241.38,2638255.72
1518968400000,"2018-02-18",10703.65,10824.05,10695.67,10817.36,1064.18,11434749.44
1518968700000,"2018-02-18",10658.89,10726.71,10658.67,10706.87,618.84,6629376.5
1518969000000,"2018-02-18",10654.56,10686.83,10651.43,10658.89,560.4,5987090.6
1518969300000,"2018-02-18",10687.79,10688.27,10651.63,10654.97,452.4,4850235.57
1518969600000,"2018-02-18",10738.93,10742.65,10687.08,10687.32,345.33,3718879.69
1518969900000,"2018-02-18",10708.02,10741.26,10706.09,10738.93,441.53,4751606.2
1518970200000,"2018-02-18",10606.05,10708.02,10568.6,10708.02,888.32,9435274.94
1518970500000,"2018-02-18",10530.29,10609.73,10519.25,10601.64,908.75,9607214.84
1518970800000,"2018-02-18",10575.43,10581.41,10524.43,10530.25,599.67,6343774.26
1518971100000,"2018-02-18",10560.12,10584.91,10536.59,10575.42,390.31,4139750.02
1518971400000,"2018-02-18",10504.71,10560.63,10484.2,10560.12,645.4,6808799.95
1518971700000,"2018-02-18",10553.55,10553.55,10503.57,10503.57,388.64,4110716.14
1518972000000,"2018-02-18",10566.15,10585.47,10527.17,10553.55,541.43,5729517.81
1518972300000,"2018-02-18",10546.89,10575.98,10546.89,10566.15,215.56,2300948.88
1518972600000,"2018-02-18",10547.52,10547.52,10504.25,10546.89,374.38,3950559.95
1518972900000,"2018-02-18",10612.32,10613.77,10547.02,10547.52,263.22,2802542.05
1518973200000,"2018-02-18",10666.2,10683.57,10600.33,10612.37,778.17,8287351.55
1518973500000,"2018-02-18",10667.07,10694.69,10653.41,10666.2,568.24,6096539.38
1518973800000,"2018-02-18",10732.65,10734.32,10665.62,10666.69,544.52,5846781.8
1518974100000,"2018-02-18",10710.6,10732.86,10705.37,10732.65,372,4016383.42
1518974400000,"2018-02-18",10711.86,10734.65,10699.44,10710.74,574.63,6161513.59
1518974700000,"2018-02-18",10678.13,10720.28,10676.21,10711.17,295.96,3177417.92
1518975000000,"2018-02-18",10666.5,10684.62,10660.37,10678.13,297.04,3175063.17
1518975300000,"2018-02-18",10694.74,10712.83,10666.17,10666.5,522.92,5609471.91
1518975600000,"2018-02-18",10690.12,10735.37,10688.27,10694.74,445.95,4781126.4
1518975900000,"2018-02-18",10694.81,10721.25,10690.04,10690.04,594.74,6368009.68
1518976200000,"2018-02-18",10719.75,10731.58,10692.89,10693.97,366.27,3938366.36
1518976500000,"2018-02-18",10770.59,10770.59,10714.53,10719.75,223.53,2411550.88
1518976800000,"2018-02-18",10732.52,10772.24,10726.91,10770.18,209.6,2257049.63
1518977100000,"2018-02-18",10644.77,10732.81,10641.3,10732.52,630.18,6730385.43
1518977400000,"2018-02-18",10636.94,10672.89,10604.96,10645.14,486.21,5185916.55
1518977700000,"2018-02-18",10670.66,10670.69,10616.86,10636.94,360.89,3845481.64
1518978000000,"2018-02-18",10734.43,10741.69,10664.4,10671.48,580.03,6220490.43
1518978300000,"2018-02-18",10745.77,10756.86,10731.7,10736.9,716.72,7708878.15
1518978600000,"2018-02-18",10753.32,10753.32,10742.59,10744.37,1.55,16617.06
